id_producto;nombre_producto;vista_producto;predesc_producto;desc_producto;id_categoria;stock_producto;precio_producto;img_producto
1;DLC-HJ20HF;Cable de video HDMI 1.4;Cable HDMI de alta velocidad plano de 2 metros con Ethernet;Transfiere datos de audio multicanal y vídeo digital de alta definición con DLC-HJ20HF. El cable admite resolución 4K y 3D con dispositivos compatibles y se puede utilizar para compartir señales de audio ARC o Ethernet. El cómodo diseño plano reduc...;1;15;1999;https://i.imgur.com/T26kRgz.png
2;DLC-HX10;Cable de video HDMI 2.1;Cable HDMI de alta calidad y alta velocidad con Ethernet;Este cable HDMI de alta calidad y alta velocidad con certificación Premium HDMI admite la transferencia de datos a alta velocidad de 18 Gbps necesaria para transmitir señales de vídeo 4K y 4K HDR hasta a 60p. Disfruta de una alta resolución, una ampl...;1;20;1699;https://i.imgur.com/3BoUCxm.png
3;EP-NI1000;Tapones EP-NI1000;Tapones con reducción de ruido EP-NI1000S/EP-NI1000M/EP-NI1000L;La tecnología de amplificación digital S-Master™ HX de Walkman® es compatible con el formato DSD nativo y admite una salida equilibrada y de alta potencia. Reduce la distorsión y el ruido en varias frecuencias para un sonido rico y completo, que me...;1;20;2499;https://i.imgur.com/iYrnDmq.png
4;MUC-B20SB1;Cable MUC-B20SB1;Cable conector estándar balanceado de 2 metros;Con el fin de garantizar un rendimiento óptimo, el cable de auriculares balanceado MUC-B20SB1 se ha diseñado en estrecha colaboración con Kimber Kable, aprovechando su tecnología de trenzado. El conductor de cobre sin oxígeno minimiza el deterioro d...;1;6;4999;https://i.imgur.com/3vpmu44.png
5;MUC-S12SB1;Cable MUC-S12SB1;Cable conector estándar balanceado de 1,2 metros;Con el fin de garantizar un rendimiento óptimo, el cable de auriculares balanceado MUC-S12SB1 se ha diseñado en estrecha colaboración con Kimber Kable, aprovechando su tecnología de trenzado. El conductor de cobre sin oxígeno minimiza el deterioro d...;1;10;3999;https://i.imgur.com/eHsffJM.png
6;VMC-15FS;Cable de video AV;Cable de video y surround 5.1 AV;Cable AV de conexión para enlazar la Handycam® a un vídeo o TV. La longitud del cable es de 1,5 metros. Conector especial de 10 patillas: Pin Plug 2 (audio) / 1 (vídeo) / S-Vídeo.;1;30;999;https://i.imgur.com/6OZvOaK.png
7;VMC-EC Series;Cable de euroconector;Cable de euroconector serie VMC-EC;Cable analógico diseñado para conectar un grabador de HDD, un reproductor de DVD, un vídeo, un decodificador o un receptor de satélite a un televisor o a un receptor A/V. Cable de alta pureza: el núcleo de cobre 99,996% libre de oxígeno (OFC) reduc...;1;10;1299;https://i.imgur.com/H720o70.png
8;SRS-XB13;Altavoz SRS-XB13;Altavoz inalámbrico portátil EXTRA BASS™ XB13;Que su forma compacta no te engañe, este pequeño altavoz proporciona un gran sonido Surround. El procesador de difusión de sonido expande el sonido en cualquier lugar gracias a su tecnología DSP. Resistente al agua y al polvo con una calificación IP...;2;5;8999;https://i.imgur.com/B4yw1gA.png
9;SRS-RA5000;Altavoz SRS-RA5000;Altavoz inalámbrico premium SRS-RA5000 con 360 Reality Audio;Al incorporar datos de localización tridimensional, las pistas con 360 Reality Audio producen un excepcional sonido ambiental que llena la sala. Y si no hay datos, tampoco hay problema: Immersive Audio Enhancement, el exclusivo algoritmo de Sony, reprod...;2;4;48999;https://i.imgur.com/etTpJfZ.png
10;SRS-NS7;Altavoces SRS-NS7;Altavoces inalámbricos estilo neckband SRS-NS7;El primer altavoz inalámbrico estilo neckband compatible con Dolby Atmos® con los modelos de BRAVIA XR de Sony. Descubre lo envolvente que puede ser el sonido espacial 360 al ver películas Dolby Atmos® en nuestros últimos televisores BRAVIA XR con u...;2;7;32999;https://i.imgur.com/Tthqx2J.png
